,pump_speed_1.k,pump_speed_2.k,pump_speed_3.k,pump_speed_4.k,val_pos_1.k,val_pos_2.k,val_pos_3.k,val_pos_4.k,ret_p.k,chw_sup_PSP.k
54,0.58,0.0,0.58,0.58,1.0,0.001,1.0,1.0,333681.3333,435633.3333
55,0.5827176000000001,0.0,0.5827176000000001,0.5827176000000001,1.0,0.001,1.0,1.0,337933.0,438166.6667
56,0.5760005334,0.5709859334,0.5721227334000001,0.0,1.0,1.0,1.0,0.001,348987.3333,432866.6667
57,0.5799219999999999,0.5799219999999999,0.0,0.5799219999999999,1.0,1.0,0.001,1.0,319618.0,409866.6667
58,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,405671.3333,432900.0
59,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,403356.6667,465133.3333
60,0.5415894,0.5415894,0.0,0.5415894,1.0,1.0,0.001,1.0,382755.3333,460600.0
61,0.6998387334,0.0,0.0,0.0,1.0,0.001,0.001,0.001,327025.3333,356233.3333
62,0.5709896666000001,0.5709896666000001,0.5709896666000001,0.5709893334,1.0,1.0,1.0,1.0,326766.0,446966.6667
63,0.5,0.0,0.0,0.0,1.0,0.001,0.001,0.001,455584.6667,552500.0
64,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,379601.0,458766.6667
65,0.5752090666,0.5752090666,0.5752090666,0.5752090666,1.0,1.0,1.0,1.0,316869.6667,437100.0
66,0.6296522,0.0,0.0,0.6296729334,1.0,0.001,0.001,1.0,319762.0,379666.6667
67,0.5894576666,0.5894576666,0.5894576666,0.5894576666,1.0,1.0,1.0,1.0,319790.0,449900.0
68,0.5410334,0.5410334,0.0,0.5410235334,1.0,1.0,0.001,1.0,326736.0,426300.0
69,0.5403662666,0.0,0.0,0.5403741334,1.0,0.001,0.001,1.0,387413.6667,454700.0
70,0.55,0.0,0.55,0.55,1.0,0.001,1.0,1.0,345486.6667,442100.0
71,0.5583878666,0.5583878666,0.0,0.5583878666,1.0,1.0,0.001,1.0,327721.3333,428333.3333
72,0.5,0.0,0.0,0.0,1.0,0.001,0.001,0.001,381192.6667,479200.0
73,0.6189377334,0.0,0.0,0.6189377334,1.0,0.001,0.001,1.0,375637.6667,435800.0
74,0.0,0.0,0.5843099334,0.5843422666,0.001,0.001,1.0,1.0,323003.0,383000.0
75,0.0,0.0,0.5590056,0.5590056,0.001,0.001,1.0,1.0,392072.3333,451400.0
76,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,481307.6667,538300.0
77,0.5781244,0.5781244,0.0,0.5781244,1.0,1.0,0.001,1.0,360504.3333,449733.3333
78,0.5791892,0.0,0.5791892,0.5791892,1.0,0.001,1.0,1.0,359896.0,449766.6667
79,0.5922529334,0.5922529334,0.5922529334,0.5922529334,1.0,1.0,1.0,1.0,321788.0,451866.6667
80,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,386574.0,414500.0
81,0.6561037333999999,0.0,0.0,0.6561037333999999,1.0,0.001,0.001,1.0,388310.3333,458600.0
82,0.0,0.5462718666,0.5462718666,0.5462718666,0.001,1.0,1.0,1.0,354716.3333,450200.0
83,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,470225.0,525266.6667
84,0.0,0.606,0.606,0.606,0.001,1.0,1.0,1.0,388108.3333,487800.0
85,0.578,0.578,0.578,0.58,1.0,1.0,1.0,1.0,336951.3333,457400.0
86,0.6132572666,0.6132061334,0.6132498,0.6132317333999999,1.0,1.0,1.0,1.0,317534.3333,477600.0
87,0.5200500666,0.0,0.5200500666,0.0,1.0,0.001,1.0,0.001,343316.0,407266.6667
88,0.6012062666,0.6012062666,0.0,0.6012062666,1.0,1.0,0.001,1.0,367593.6667,465800.0
89,0.6049777334,0.0,0.6049777334,0.6049777334,1.0,0.001,1.0,1.0,335766.6667,455433.3333
90,0.0,0.5877223334,0.5877195334,0.5877184666,0.001,1.0,1.0,1.0,342593.0,432700.0
91,0.6376732666,0.6377438665999999,0.6377506666,0.0,1.0,1.0,1.0,0.001,314640.6667,415866.6667
92,0.5723240666,0.5723240666,0.5723240666,0.5723240666,1.0,1.0,1.0,1.0,328589.6667,448600.0
93,0.0,0.6373840666,0.6373840666,0.6373840666,0.001,1.0,1.0,1.0,325579.6667,433433.3333
94,0.5617188,0.0,0.0,0.5617188,1.0,0.001,0.001,1.0,353039.0,417933.3333
95,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,451187.3333,551900.0
96,0.5516,0.5496092,0.5496092,0.5496092,1.0,1.0,1.0,1.0,323466.0,443100.0
97,0.5841662,0.5841377334,0.0,0.5841377334,1.0,1.0,0.001,1.0,357089.0,455400.0
98,0.5823078,0.5823078,0.0,0.5823078,1.0,1.0,0.001,1.0,356307.6667,444833.3333
99,0.5535244666,0.5535244666,0.5535244666,0.5535244666,1.0,1.0,1.0,1.0,344530.6667,464166.6667
100,0.5890538,0.5890538,0.0,0.5890538,1.0,1.0,0.001,1.0,404224.3333,494566.6667
101,0.594,0.0,0.594,0.594,1.0,0.001,1.0,1.0,339091.3333,442533.3333
102,0.5438292666,0.5438292666,0.0,0.0,1.0,1.0,0.001,0.001,398842.3333,458533.3333
103,0.0,0.0,0.0,0.5600029334,0.001,0.001,0.001,1.0,406568.3333,489733.3333
104,0.5831891334,0.0,0.0,0.5831891334,1.0,0.001,0.001,1.0,330441.3333,390566.6667
105,0.0,0.0,0.549874,0.0,0.001,0.001,1.0,0.001,329253.3333,394266.6667
106,0.5532151334000001,0.5532151334000001,0.0,0.5532151334000001,1.0,1.0,0.001,1.0,358622.3333,467533.3333
107,0.5747184665999999,0.0,0.5747184665999999,0.5747184665999999,1.0,0.001,1.0,1.0,333825.6667,433200.0
108,0.5493992,0.0,0.0,0.0,1.0,0.001,0.001,0.001,372569.0,402533.3333
109,0.5530112666,0.5530112666,0.0,0.5530112666,1.0,1.0,0.001,1.0,317795.3333,425433.3333
110,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,384113.3333,481633.3333
111,0.0,0.0,0.5692877333999999,0.0,0.001,0.001,1.0,0.001,336168.6667,384166.6667
112,0.584,0.0,0.0,0.584,1.0,0.001,0.001,1.0,395457.3333,449433.3333
113,0.571786,0.571786,0.571786,0.571786,1.0,1.0,1.0,1.0,324188.0,444033.3333
114,0.54,0.0,0.5473288000000001,0.546051,1.0,0.001,1.0,1.0,380671.0,474166.6667
115,0.6040691334,0.6040691334,0.0,0.6040691334,1.0,1.0,0.001,1.0,335301.6667,435000.0
116,0.0,0.0,0.5278226666,0.5278226666,0.001,0.001,1.0,1.0,373639.3333,447766.6667
117,0.5906592666,0.5906592666,0.5906592666,0.5906592666,1.0,1.0,1.0,1.0,315510.6667,445733.3333
118,0.0,0.0,0.0,0.5600029334,0.001,0.001,0.001,1.0,338917.3333,421866.6667
119,0.5634640000000001,0.0,0.0,0.5638801999999999,1.0,0.001,0.001,1.0,378415.0,450200.0
120,0.5785052666,0.5785095334,0.5785085999999999,0.5785137334,1.0,1.0,1.0,1.0,319530.6667,447100.0
121,0.5940118666,0.5940118666,0.5940118666,0.5940118666,1.0,1.0,1.0,1.0,329660.3333,459700.0
122,0.5405142000000001,0.5405142000000001,0.5405142000000001,0.5405142000000001,1.0,1.0,1.0,1.0,322020.0,439600.0
123,0.6148089334,0.6148089334,0.6148089334,0.6148089334,1.0,1.0,1.0,1.0,322541.0,472433.3333
124,0.5716800666,0.0,0.0,0.5716800666,1.0,0.001,0.001,1.0,336487.3333,425100.0
125,0.5991633334,0.0,0.0,0.5991633334,1.0,0.001,0.001,1.0,376938.6667,434933.3333
126,0.6065784,0.0,0.6101689334,0.6092631334,1.0,0.001,1.0,1.0,374132.3333,473466.6667
127,0.5715684666,0.5715684666,0.5715684666,0.5715684666,1.0,1.0,1.0,1.0,322771.6667,442900.0
128,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,375810.3333,476066.6667
129,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,442534.0,540466.6667
130,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,403355.6667,503466.6667
131,0.5702191334,0.5702191334,0.5702191334,0.5702191334,1.0,1.0,1.0,1.0,325925.0,445733.3333
132,0.5827842,0.5827842,0.5827842,0.5827842,1.0,1.0,1.0,1.0,313802.6667,443700.0
133,0.0,0.0,0.5626067334,0.5626067334,0.001,0.001,1.0,1.0,403934.6667,463566.6667
