,Unnamed: 0,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
128,4290,1593789270,411700.0,331307.6667,28.0885,28.0885,0.0,0.0,565.2878933,1.0,1.0,0.001,0.001
273,11280,1594208670,436333.3333,335185.3333,27.7,0.0,27.7,27.7,777.2226,1.0,0.001,1.0,1.0
955,34710,1595614470,566233.3333,541263.0,30.11989667,0.0,0.0,0.0,342.6576533,1.0,0.001,0.001,0.001
65,1980,1593650670,441400.0,381365.0,0.0,0.0,27.64865,27.64865,591.1112667,0.001,0.001,1.0,1.0
705,26280,1595108670,467600.0,430817.3333,0.0,0.0,26.00074,0.0,283.34628,0.001,0.001,1.0,0.001
165,7740,1593996270,429500.0,328386.3333,28.85679667,28.85679667,0.0,28.85574667,843.3967733,1.0,1.0,0.001,1.0
455,16980,1594550670,551033.3333,493836.6667,0.0,0.0,25.0,0.0,257.7412133,0.001,0.001,1.0,0.001
105,3480,1593740670,405766.6667,320196.3333,0.0,0.0,26.00259333,26.00259333,499.7622,0.001,0.001,1.0,1.0
674,25320,1595051070,449700.0,359867.6667,28.96731333,0.0,28.96731333,28.96731333,862.02368,1.0,0.001,1.0,1.0
2095,79890,1598325270,433466.6667,313195.0,27.83964667,27.83964667,27.83964667,27.83964667,977.7447867,1.0,1.0,1.0,1.0
1888,70320,1597751070,458266.6667,362529.6667,28.60125,0.0,28.90311,28.90039667,863.29124,1.0,0.001,1.0,1.0
1589,58590,1597047270,473900.0,313628.6667,30.97631333,30.97628667,30.97618,30.97503333,1040.84708,1.0,1.0,1.0,1.0
994,36150,1595700870,563666.6667,463657.6667,0.0,0.0,25.0,0.0,224.5830533,0.001,0.001,1.0,0.001
963,35190,1595643270,407266.6667,343316.0,26.00250333,0.0,26.00250333,0.0,531.26752,1.0,0.001,1.0,0.001
433,16320,1594511070,484566.6667,447453.3333,0.0,0.0,25.0,0.0,273.1650133,0.001,0.001,1.0,0.001
