,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
12810,1625836470,336083.3333,287211,0,0,25.00225,25.00219333,533.8320463,0.001,0.001,1,1
12840,1625838270,323379,273553.6667,0,0,25.00169,25.00199667,534.6298241,0.001,0.001,1,1
12870,1625840070,311342,259982.3333,0,0,25.00121333,25.00121333,527.5579908,0.001,0.001,1,1
12900,1625841870,301216.6667,249218.6667,0,0,25.00091667,25.00099667,532.0098426,0.001,0.001,1,1
12930,1625843670,298929.3333,247542,0,0,25.00264667,25.00269667,528.3813333,0.001,0.001,1,1
12990,1625845470,294040.3333,241262.3333,0,0,25.43904667,25.43904667,540.596463,0.001,0.001,1,1
13050,1625849070,312529,282003,0,0,25.00859333,0,274.3990519,0.001,0.001,1,0.001
13440,1625874270,392998,285560.6667,0,25,0,0,180.1491713,0.001,1,0.001,0.001
13470,1625876070,356336.3333,248929.3333,0,25,0,0,209.0688722,0.001,1,0.001,0.001
13500,1625877870,355178.3333,247974.3333,0,25,0,0,204.3574889,0.001,1,0.001,0.001
13530,1625879670,359664,252141.3333,0,25,0,0,211.2328546,0.001,1,0.001,0.001
13560,1625881470,356193.3333,248901.3333,0,25,0,0,206.6663167,0.001,1,0.001,0.001
13590,1625883270,354167,246817.3333,0,25,0,0,207.9865676,0.001,1,0.001,0.001
13620,1625885070,363193.6667,255410.3333,0,25,0,0,173.5422574,0.001,1,0.001,0.001
13650,1625886870,392997.6667,288657.6667,0,25,0,0,0,0.001,1,0.001,0.001
13680,1625888670,437876.6667,330005.6667,0,25,0,0,137.3706593,0.001,1,0.001,0.001
13710,1625890470,488049.3333,380266.3333,0,25,0,0,207.6324769,0.001,1,0.001,0.001
